TRACE #1
--------------------------
{'x': 0.0, 'y': 0.0}
{'x': 0.0, 'y': 2120728405.0, 'n': 472.0}
{'x': 0.0, 'y': 281007234.0, 'n': 472.0}
{'x': 0.0, 'y': 281007234.0, 'n': 472.0}
{'x': 281007234.0, 'y': 281007234.0, 'n': 472.0}
{'x': 0.0, 'y': 281007234.0, 'n': 472.0}
{'x': 0.0, 'y': 189285482.0, 'n': 472.0}
{'x': 0.0, 'y': 189285482.0, 'n': 472.0}
{'x': 189285482.0, 'y': 189285482.0, 'n': 472.0}
{'x': 0.0, 'y': 189285482.0, 'n': 472.0}
{'x': 0.0, 'y': 444163015.0, 'n': 472.0}
{'x': 0.0, 'y': 444163015.0, 'n': 472.0}
{'x': 444163015.0, 'y': 444163015.0, 'n': 472.0}
{'x': 0.0, 'y': 444163015.0, 'n': 472.0}
{'x': 0.0, 'y': 1899471203.0, 'n': 472.0}
{'x': 0.0, 'y': 1899471203.0, 'n': 472.0}
{'x': 1899471203.0, 'y': 1899471203.0, 'n': 472.0}
{'x': 0.0, 'y': 1899471203.0, 'n': 472.0}
{'x': 0.0, 'y': 1172137412.0, 'n': 472.0}
{'x': 0.0, 'y': 1172137412.0, 'n': 472.0}
{'x': 1172137412.0, 'y': 1172137412.0, 'n': 472.0}
{'x': 0.0, 'y': 1172137412.0, 'n': 472.0}
{'x': 0.0, 'y': 1296421305.0, 'n': 472.0}
{'x': 0.0, 'y': 1296421305.0, 'n': 472.0}
{'x': 1296421305.0, 'y': 1296421305.0, 'n': 472.0}
{'x': 0.0, 'y': 1296421305.0, 'n': 472.0}
{'x': 0.0, 'y': 1646580256.0, 'n': 472.0}
{'x': 0.0, 'y': 1646580256.0, 'n': 472.0}
{'x': 1646580256.0, 'y': 1646580256.0, 'n': 472.0}
{'x': 0.0, 'y': 1646580256.0, 'n': 472.0}
{'x': 0.0, 'y': 719431068.0, 'n': 472.0}
{'x': 0.0, 'y': 719431068.0, 'n': 472.0}
{'x': 719431068.0, 'y': 719431068.0, 'n': 472.0}
{'x': 0.0, 'y': 719431068.0, 'n': 472.0}
{'x': 0.0, 'y': 2116578215.0, 'n': 472.0}
{'x': 0.0, 'y': 2116578215.0, 'n': 472.0}
{'x': 2116578215.0, 'y': 2116578215.0, 'n': 472.0}
{'x': 0.0, 'y': 2116578215.0, 'n': 472.0}
{'x': 0.0, 'y': 520984285.0, 'n': 472.0}
{'x': 0.0, 'y': 520984285.0, 'n': 472.0}
{'x': 520984285.0, 'y': 520984285.0, 'n': 472.0}
{'x': 0.0, 'y': 520984285.0, 'n': 472.0}
{'x': 0.0, 'y': 1022951430.0, 'n': 472.0}
{'x': 0.0, 'y': 1022951430.0, 'n': 472.0}
{'x': 1022951430.0, 'y': 1022951430.0, 'n': 472.0}
{'x': 0.0, 'y': 1022951430.0, 'n': 472.0}
{'x': 0.0, 'y': 815228337.0, 'n': 472.0}
{'x': 0.0, 'y': 815228337.0, 'n': 472.0}
{'x': 815228337.0, 'y': 815228337.0, 'n': 472.0}
{'x': 0.0, 'y': 815228337.0, 'n': 472.0}
{'x': 0.0, 'y': 997087586.0, 'n': 472.0}
{'x': 0.0, 'y': 997087586.0, 'n': 472.0}
{'x': 997087586.0, 'y': 997087586.0, 'n': 472.0}
{'x': 0.0, 'y': 997087586.0, 'n': 472.0}
{'x': 0.0, 'y': 399395955.0, 'n': 472.0}
{'x': 0.0, 'y': 399395955.0, 'n': 472.0}
{'x': 399395955.0, 'y': 399395955.0, 'n': 472.0}
{'x': 0.0, 'y': 399395955.0, 'n': 472.0}
{'x': 0.0, 'y': 988634158.0, 'n': 472.0}
{'x': 0.0, 'y': 988634158.0, 'n': 472.0}
{'x': 988634158.0, 'y': 988634158.0, 'n': 472.0}
{'x': 0.0, 'y': 988634158.0, 'n': 472.0}
{'x': 0.0, 'y': 727653910.0, 'n': 472.0}
{'x': 0.0, 'y': 727653910.0, 'n': 472.0}
{'x': 727653910.0, 'y': 727653910.0, 'n': 472.0}
{'x': 0.0, 'y': 727653910.0, 'n': 472.0}
{'x': 0.0, 'y': 1537089528.0, 'n': 472.0}
{'x': 0.0, 'y': 1537089528.0, 'n': 472.0}
{'x': 1537089528.0, 'y': 1537089528.0, 'n': 472.0}
{'x': 0.0, 'y': 1537089528.0, 'n': 472.0}
{'x': 0.0, 'y': 1323879661.0, 'n': 472.0}
{'x': 0.0, 'y': 1323879661.0, 'n': 472.0}
{'x': 1323879661.0, 'y': 1323879661.0, 'n': 472.0}
{'x': 0.0, 'y': 1323879661.0, 'n': 472.0}
{'x': 0.0, 'y': 1925780817.0, 'n': 472.0}
{'x': 0.0, 'y': 1925780817.0, 'n': 472.0}
{'x': 1925780817.0, 'y': 1925780817.0, 'n': 472.0}
{'x': 0.0, 'y': 1925780817.0, 'n': 472.0}
{'x': 0.0, 'y': 1504989466.0, 'n': 472.0}
{'x': 0.0, 'y': 1504989466.0, 'n': 472.0}
{'x': 1504989466.0, 'y': 1504989466.0, 'n': 472.0}
{'x': 0.0, 'y': 1504989466.0, 'n': 472.0}
{'x': 0.0, 'y': 222367272.0, 'n': 472.0}
{'x': 0.0, 'y': 222367272.0, 'n': 472.0}
{'x': 222367272.0, 'y': 222367272.0, 'n': 472.0}
{'x': 0.0, 'y': 222367272.0, 'n': 472.0}
{'x': 0.0, 'y': 244914374.0, 'n': 472.0}
{'x': 0.0, 'y': 244914374.0, 'n': 472.0}
{'x': 244914374.0, 'y': 244914374.0, 'n': 472.0}
{'x': 0.0, 'y': 244914374.0, 'n': 472.0}
{'x': 0.0, 'y': 1997298230.0, 'n': 472.0}
{'x': 0.0, 'y': 1997298230.0, 'n': 472.0}
{'x': 1997298230.0, 'y': 1997298230.0, 'n': 472.0}
{'x': 0.0, 'y': 1997298230.0, 'n': 472.0}
{'x': 0.0, 'y': 876202479.0, 'n': 472.0}
{'x': 0.0, 'y': 876202479.0, 'n': 472.0}
{'x': 876202479.0, 'y': 876202479.0, 'n': 472.0}
{'x': 0.0, 'y': 876202479.0, 'n': 472.0}
{'x': 0.0, 'y': 1262028177.0, 'n': 472.0}
{'x': 0.0, 'y': 1262028177.0, 'n': 472.0}
{'x': 1262028177.0, 'y': 1262028177.0, 'n': 472.0}
{'x': 0.0, 'y': 1262028177.0, 'n': 472.0}
{'x': 0.0, 'y': 385037698.0, 'n': 472.0}
{'x': 0.0, 'y': 385037698.0, 'n': 472.0}
{'x': 385037698.0, 'y': 385037698.0, 'n': 472.0}
{'x': 0.0, 'y': 385037698.0, 'n': 472.0}
{'x': 0.0, 'y': 1809061159.0, 'n': 472.0}
{'x': 0.0, 'y': 1809061159.0, 'n': 472.0}
{'x': 1809061159.0, 'y': 1809061159.0, 'n': 472.0}
{'x': 0.0, 'y': 1809061159.0, 'n': 472.0}
{'x': 0.0, 'y': 2106980654.0, 'n': 472.0}
{'x': 0.0, 'y': 2106980654.0, 'n': 472.0}
{'x': 2106980654.0, 'y': 2106980654.0, 'n': 472.0}
{'x': 0.0, 'y': 2106980654.0, 'n': 472.0}
{'x': 0.0, 'y': 450203358.0, 'n': 472.0}
{'x': 0.0, 'y': 450203358.0, 'n': 472.0}
{'x': 450203358.0, 'y': 450203358.0, 'n': 472.0}
{'x': 0.0, 'y': 450203358.0, 'n': 472.0}
{'x': 0.0, 'y': 1767720330.0, 'n': 472.0}
{'x': 0.0, 'y': 1767720330.0, 'n': 472.0}
{'x': 1767720330.0, 'y': 1767720330.0, 'n': 472.0}
{'x': 0.0, 'y': 1767720330.0, 'n': 472.0}
{'x': 0.0, 'y': 2080225412.0, 'n': 472.0}
{'x': 0.0, 'y': 2080225412.0, 'n': 472.0}
{'x': 2080225412.0, 'y': 2080225412.0, 'n': 472.0}
{'x': 0.0, 'y': 2080225412.0, 'n': 472.0}
{'x': 0.0, 'y': 731210592.0, 'n': 472.0}
{'x': 0.0, 'y': 731210592.0, 'n': 472.0}
{'x': 731210592.0, 'y': 731210592.0, 'n': 472.0}
{'x': 0.0, 'y': 731210592.0, 'n': 472.0}
{'x': 0.0, 'y': 1957005812.0, 'n': 472.0}
{'x': 0.0, 'y': 1957005812.0, 'n': 472.0}
{'x': 1957005812.0, 'y': 1957005812.0, 'n': 472.0}
{'x': 0.0, 'y': 1957005812.0, 'n': 472.0}
{'x': 0.0, 'y': 376904779.0, 'n': 472.0}
{'x': 0.0, 'y': 376904779.0, 'n': 472.0}
{'x': 376904779.0, 'y': 376904779.0, 'n': 472.0}
{'x': 0.0, 'y': 376904779.0, 'n': 472.0}
{'x': 0.0, 'y': 483198147.0, 'n': 472.0}
{'x': 0.0, 'y': 483198147.0, 'n': 472.0}
{'x': 483198147.0, 'y': 483198147.0, 'n': 472.0}
{'x': 0.0, 'y': 483198147.0, 'n': 472.0}
{'x': 0.0, 'y': 981659576.0, 'n': 472.0}
{'x': 0.0, 'y': 981659576.0, 'n': 472.0}
{'x': 981659576.0, 'y': 981659576.0, 'n': 472.0}
{'x': 0.0, 'y': 981659576.0, 'n': 472.0}
{'x': 0.0, 'y': 1673326084.0, 'n': 472.0}
{'x': 0.0, 'y': 1673326084.0, 'n': 472.0}
{'x': 1673326084.0, 'y': 1673326084.0, 'n': 472.0}
{'x': 0.0, 'y': 1673326084.0, 'n': 472.0}
{'x': 0.0, 'y': 2129778404.0, 'n': 472.0}
{'x': 0.0, 'y': 2129778404.0, 'n': 472.0}
{'x': 2129778404.0, 'y': 2129778404.0, 'n': 472.0}
{'x': 0.0, 'y': 2129778404.0, 'n': 472.0}
{'x': 0.0, 'y': 1701090644.0, 'n': 472.0}
{'x': 0.0, 'y': 1701090644.0, 'n': 472.0}
{'x': 1701090644.0, 'y': 1701090644.0, 'n': 472.0}
{'x': 0.0, 'y': 1701090644.0, 'n': 472.0}
{'x': 0.0, 'y': 1642420651.0, 'n': 472.0}
{'x': 0.0, 'y': 1642420651.0, 'n': 472.0}
{'x': 1642420651.0, 'y': 1642420651.0, 'n': 472.0}
{'x': 0.0, 'y': 1642420651.0, 'n': 472.0}
{'x': 0.0, 'y': 503279041.0, 'n': 472.0}
{'x': 0.0, 'y': 503279041.0, 'n': 472.0}
{'x': 503279041.0, 'y': 503279041.0, 'n': 472.0}
{'x': 0.0, 'y': 503279041.0, 'n': 472.0}
{'x': 0.0, 'y': 576558426.0, 'n': 472.0}
{'x': 0.0, 'y': 576558426.0, 'n': 472.0}
{'x': 576558426.0, 'y': 576558426.0, 'n': 472.0}
{'x': 0.0, 'y': 576558426.0, 'n': 472.0}
{'x': 0.0, 'y': 310165340.0, 'n': 472.0}
{'x': 0.0, 'y': 310165340.0, 'n': 472.0}
{'x': 310165340.0, 'y': 310165340.0, 'n': 472.0}
{'x': 0.0, 'y': 310165340.0, 'n': 472.0}
{'x': 0.0, 'y': 1500366627.0, 'n': 472.0}
{'x': 0.0, 'y': 1500366627.0, 'n': 472.0}
{'x': 1500366627.0, 'y': 1500366627.0, 'n': 472.0}
{'x': 0.0, 'y': 1500366627.0, 'n': 472.0}
{'x': 0.0, 'y': 975954382.0, 'n': 472.0}
{'x': 0.0, 'y': 975954382.0, 'n': 472.0}
{'x': 975954382.0, 'y': 975954382.0, 'n': 472.0}
{'x': 0.0, 'y': 975954382.0, 'n': 472.0}
{'x': 0.0, 'y': 1298799499.0, 'n': 472.0}
{'x': 0.0, 'y': 1298799499.0, 'n': 472.0}
{'x': 1298799499.0, 'y': 1298799499.0, 'n': 472.0}
{'x': 0.0, 'y': 1298799499.0, 'n': 472.0}
{'x': 0.0, 'y': 80536889.0, 'n': 472.0}
{'x': 0.0, 'y': 80536889.0, 'n': 472.0}
{'x': 80536889.0, 'y': 80536889.0, 'n': 472.0}
{'x': 0.0, 'y': 80536889.0, 'n': 472.0}
{'x': 0.0, 'y': 365560262.0, 'n': 472.0}
{'x': 0.0, 'y': 365560262.0, 'n': 472.0}
{'x': 365560262.0, 'y': 365560262.0, 'n': 472.0}
{'x': 0.0, 'y': 365560262.0, 'n': 472.0}
{'x': 0.0, 'y': 475195512.0, 'n': 472.0}
{'x': 0.0, 'y': 475195512.0, 'n': 472.0}
{'x': 475195512.0, 'y': 475195512.0, 'n': 472.0}
{'x': 0.0, 'y': 475195512.0, 'n': 472.0}
{'x': 0.0, 'y': 2006317706.0, 'n': 472.0}
{'x': 0.0, 'y': 2006317706.0, 'n': 472.0}
{'x': 2006317706.0, 'y': 2006317706.0, 'n': 472.0}
{'x': 0.0, 'y': 2006317706.0, 'n': 472.0}
{'x': 0.0, 'y': 1870549728.0, 'n': 472.0}
{'x': 0.0, 'y': 1870549728.0, 'n': 472.0}
{'x': 1870549728.0, 'y': 1870549728.0, 'n': 472.0}
{'x': 0.0, 'y': 1870549728.0, 'n': 472.0}
{'x': 0.0, 'y': 697562785.0, 'n': 472.0}
{'x': 0.0, 'y': 697562785.0, 'n': 472.0}
{'x': 697562785.0, 'y': 697562785.0, 'n': 472.0}
{'x': 0.0, 'y': 697562785.0, 'n': 472.0}
{'x': 0.0, 'y': 103748433.0, 'n': 472.0}
{'x': 0.0, 'y': 103748433.0, 'n': 472.0}
{'x': 103748433.0, 'y': 103748433.0, 'n': 472.0}
{'x': 0.0, 'y': 103748433.0, 'n': 472.0}
{'x': 0.0, 'y': 1720364310.0, 'n': 472.0}
{'x': 0.0, 'y': 1720364310.0, 'n': 472.0}
{'x': 1720364310.0, 'y': 1720364310.0, 'n': 472.0}
{'x': 0.0, 'y': 1720364310.0, 'n': 472.0}
{'x': 0.0, 'y': 1573765264.0, 'n': 472.0}
{'x': 0.0, 'y': 1573765264.0, 'n': 472.0}
{'x': 1573765264.0, 'y': 1573765264.0, 'n': 472.0}
{'x': 0.0, 'y': 1573765264.0, 'n': 472.0}
{'x': 0.0, 'y': 1365776610.0, 'n': 472.0}
{'x': 0.0, 'y': 1365776610.0, 'n': 472.0}
{'x': 1365776610.0, 'y': 1365776610.0, 'n': 472.0}
{'x': 0.0, 'y': 1365776610.0, 'n': 472.0}
{'x': 0.0, 'y': 2105402008.0, 'n': 472.0}
{'x': 0.0, 'y': 2105402008.0, 'n': 472.0}
{'x': 2105402008.0, 'y': 2105402008.0, 'n': 472.0}
{'x': 0.0, 'y': 2105402008.0, 'n': 472.0}
{'x': 0.0, 'y': 1235342775.0, 'n': 472.0}
{'x': 0.0, 'y': 1235342775.0, 'n': 472.0}
{'x': 1235342775.0, 'y': 1235342775.0, 'n': 472.0}
{'x': 0.0, 'y': 1235342775.0, 'n': 472.0}
{'x': 0.0, 'y': 1325273616.0, 'n': 472.0}
{'x': 0.0, 'y': 1325273616.0, 'n': 472.0}
{'x': 1325273616.0, 'y': 1325273616.0, 'n': 472.0}
{'x': 0.0, 'y': 1325273616.0, 'n': 472.0}
{'x': 0.0, 'y': 408121718.0, 'n': 472.0}
{'x': 0.0, 'y': 408121718.0, 'n': 472.0}
{'x': 408121718.0, 'y': 408121718.0, 'n': 472.0}
{'x': 0.0, 'y': 408121718.0, 'n': 472.0}
{'x': 0.0, 'y': 855579457.0, 'n': 472.0}
{'x': 0.0, 'y': 855579457.0, 'n': 472.0}
{'x': 855579457.0, 'y': 855579457.0, 'n': 472.0}
{'x': 0.0, 'y': 855579457.0, 'n': 472.0}
{'x': 0.0, 'y': 1258015380.0, 'n': 472.0}
{'x': 0.0, 'y': 1258015380.0, 'n': 472.0}
{'x': 1258015380.0, 'y': 1258015380.0, 'n': 472.0}
{'x': 0.0, 'y': 1258015380.0, 'n': 472.0}
{'x': 0.0, 'y': 1139332310.0, 'n': 472.0}
{'x': 0.0, 'y': 1139332310.0, 'n': 472.0}
{'x': 1139332310.0, 'y': 1139332310.0, 'n': 472.0}
{'x': 0.0, 'y': 1139332310.0, 'n': 472.0}
{'x': 0.0, 'y': 665101621.0, 'n': 472.0}
{'x': 0.0, 'y': 665101621.0, 'n': 472.0}
{'x': 665101621.0, 'y': 665101621.0, 'n': 472.0}
{'x': 0.0, 'y': 665101621.0, 'n': 472.0}
{'x': 0.0, 'y': 1634920159.0, 'n': 472.0}
{'x': 0.0, 'y': 1634920159.0, 'n': 472.0}
{'x': 1634920159.0, 'y': 1634920159.0, 'n': 472.0}
{'x': 0.0, 'y': 1634920159.0, 'n': 472.0}
{'x': 0.0, 'y': 1622530458.0, 'n': 472.0}
{'x': 0.0, 'y': 1622530458.0, 'n': 472.0}
{'x': 1622530458.0, 'y': 1622530458.0, 'n': 472.0}
{'x': 0.0, 'y': 1622530458.0, 'n': 472.0}
{'x': 0.0, 'y': 1646761197.0, 'n': 472.0}
{'x': 0.0, 'y': 1646761197.0, 'n': 472.0}
{'x': 1646761197.0, 'y': 1646761197.0, 'n': 472.0}
{'x': 0.0, 'y': 1646761197.0, 'n': 472.0}
{'x': 0.0, 'y': 1160762595.0, 'n': 472.0}
{'x': 0.0, 'y': 1160762595.0, 'n': 472.0}
{'x': 1160762595.0, 'y': 1160762595.0, 'n': 472.0}
{'x': 0.0, 'y': 1160762595.0, 'n': 472.0}
{'x': 0.0, 'y': 1604825214.0, 'n': 472.0}
{'x': 0.0, 'y': 1604825214.0, 'n': 472.0}
{'x': 1604825214.0, 'y': 1604825214.0, 'n': 472.0}
{'x': 0.0, 'y': 1604825214.0, 'n': 472.0}
{'x': 0.0, 'y': 1200368193.0, 'n': 472.0}
{'x': 0.0, 'y': 1200368193.0, 'n': 472.0}
{'x': 1200368193.0, 'y': 1200368193.0, 'n': 472.0}
{'x': 0.0, 'y': 1200368193.0, 'n': 472.0}
{'x': 0.0, 'y': 655699598.0, 'n': 472.0}
{'x': 0.0, 'y': 655699598.0, 'n': 472.0}
{'x': 655699598.0, 'y': 655699598.0, 'n': 472.0}
{'x': 0.0, 'y': 655699598.0, 'n': 472.0}
{'x': 0.0, 'y': 2108104255.0, 'n': 472.0}
{'x': 0.0, 'y': 2108104255.0, 'n': 472.0}
{'x': 2108104255.0, 'y': 2108104255.0, 'n': 472.0}
{'x': 0.0, 'y': 2108104255.0, 'n': 472.0}
{'x': 0.0, 'y': 1776926620.0, 'n': 472.0}
{'x': 0.0, 'y': 1776926620.0, 'n': 472.0}
{'x': 1776926620.0, 'y': 1776926620.0, 'n': 472.0}
{'x': 0.0, 'y': 1776926620.0, 'n': 472.0}
{'x': 0.0, 'y': 965864939.0, 'n': 472.0}
{'x': 0.0, 'y': 965864939.0, 'n': 472.0}
{'x': 965864939.0, 'y': 965864939.0, 'n': 472.0}
{'x': 0.0, 'y': 965864939.0, 'n': 472.0}
{'x': 0.0, 'y': 1460987235.0, 'n': 472.0}
{'x': 0.0, 'y': 1460987235.0, 'n': 472.0}
{'x': 1460987235.0, 'y': 1460987235.0, 'n': 472.0}
{'x': 0.0, 'y': 1460987235.0, 'n': 472.0}
{'x': 0.0, 'y': 605397354.0, 'n': 472.0}
{'x': 0.0, 'y': 605397354.0, 'n': 472.0}
{'x': 605397354.0, 'y': 605397354.0, 'n': 472.0}
{'x': 0.0, 'y': 605397354.0, 'n': 472.0}
